Volatility,risky
19.39155222,0
26.59644334,0
16.5398716,0
26.34808251,0
22.32495511,0
28.55337162,0
27.92189127,0
26.54957491,0
21.52176847,0
31.14124139,0
18.10278714,0
34.50249981,0
25.75675406,0
43.2927095,1
14.32753012,0
21.49895734,0
31.84584258,0
31.01840376,0
16.74810944,0
22.46384203,0
21.28910313,0
29.02924484,0
20.67651099,0
24.52265603,0
22.24539277,0
26.91868109,0
16.88622863,0
26.73219298,0
20.13588248,0
20.81330334,0
28.57255519,0
22.54481456,0
32.37882306,0
32.05137802,0
17.35957912,0
19.79890173,0
26.0961603,0
25.88934885,0
28.3059988,0
31.06301558,0
20.85100272,0
19.11273681,0
25.86856755,0
21.51960393,0
21.62898185,0
21.40957308,0
20.61121085,0
24.09562773,0
38.69474327,0
24.75786246,0
17.16210579,0
33.73594128,0
17.43283773,0
18.62187368,0
32.57790862,0
21.73268959,0
31.00676956,0
18.86055849,0
34.15047127,0
22.0113251,0
45.73954804,1
28.13028871,0
22.32924947,0
25.89448992,0
22.83251127,0
21.5359109,0
49.7282639,1
42.10911948,1
29.52364073,0
33.02794879,0
40.45647636,1
30.01348057,0
21.59421465,0
19.02441059,0
45.6984047,1
49.3228719,1
46.91844083,1
101.1724371,1
22.48116074,0
22.1510122,0
20.07131528,0
33.69351569,0
50.0445109,1
26.97783195,0
27.01993694,0
23.9731165,0
27.87582966,0
33.95394827,0
23.82154054,0
27.50122112,0
26.02813808,0
46.69200525,1
17.29815306,0
21.58558744,0
22.39153396,0
26.32044092,0
22.5858396,0
17.41646677,0
18.60621445,0
25.0097914,0
20.14320593,0
26.94284169,0
19.72604724,0
22.36474273,0
15.49616054,0
20.16611478,0
25.54627016,0
17.81591197,0
16.25063342,0
31.40712064,0
23.18432074,0
28.49190014,0
19.85650095,0
20.80337004,0
19.19952498,0
21.31197111,0
27.74604007,0
19.46094845,0
21.33305356,0
22.04302585,0
32.15526548,0
26.65061659,0
17.83360735,0
28.68308988,0
32.03055957,0
46.81006449,1
39.40421394,0
17.62172563,0
34.89117791,0
32.17002392,0
52.60909893,1
30.47924332,0
32.97005609,0
20.17325912,0
15.65657245,0
27.85407247,0
22.63622823,0
24.04763363,0
22.68964857,0
36.26736855,0
29.49327361,0
