,2019,2020,2021,2022,2023
AON,25.33966650280496,26.791558836904056,53.872611199047846,30.431929060063688,0.0
AOS,5.762546226479877,9.575040729559815,12.001008477198384,13.568154032862038,0.0
APA,8.082579214098418,11.650336986387465,6.193889058161034,8.824464589774093,0.0
APD,38.95057321021436,53.63622071618972,24.038789169472953,39.482999392919915,0.0
APH,5.642851211477067,12.97247574923835,11.02561914614907,8.215650067479816,0.0
ARE,17.596297424237854,18.355639138486218,28.256697327591397,38.92814057290177,0.0
ATVI,7.839776059984876,16.26365427405545,19.769905676699754,6.036778365693393,0.0
AVB,16.788103740870643,41.01718129987871,42.210982385206066,47.24107976913609,0.0
AVY,16.884165999203802,26.283179906335494,33.11784546913999,22.498432471513258,0.0
AWK,17.046756181676955,21.658740158234696,21.14011347657331,16.974045722513658,0.0
AXP,12.85201830681267,25.431715957636655,27.82420286390427,27.71175776908531,0.0
AZO,180.0074901598329,162.9736008346292,395.7014469659001,310.6190522698492,0.0
BA,40.14204412188877,105.8265569475711,28.084383471337915,45.61378380659141,0.0
BAC,3.6688982539015123,6.604666146137948,7.1400380157276535,8.623316392239154,0.0
BAX,9.390020395048978,7.9619632362333475,5.40181034378328,19.267199606074712,0.0
BBY,11.964492017435955,29.622460673188513,12.358733947169044,20.953278285905604,0.0
BDX,17.517311984817812,27.14035342104382,10.861123864857795,21.904322387306923,0.0
BEN,5.128238140193937,4.505739581161505,4.598348893008236,5.065275142256446,0.0
BF-A,8.66870180222279,11.712565373650387,4.788797037674804,7.527892545379123,0.0
BHI,0.01080059234084047,0.0,0.0,0.0,0.0
BIIB,67.83786624114317,43.57644783464225,66.92186833579531,52.66593890992497,0.0
BIO,58.83358206755072,129.98086815904185,134.5792565813818,129.10962904758443,0.0
BK,5.7654404630285505,7.477302076681248,8.55461052386282,11.12861662582904,0.0
BLK,47.81271226057707,132.97256181536295,129.3022259836517,132.2669044344601,0.0
BMRA,0.578146962950098,3.5043211321711025,1.8235378108753766,0.8776326568344653,0.0
BMY,8.328476483160237,5.671633636283947,5.903983374060115,7.590185040488615,0.0
BR,18.836854687248014,25.607757253396326,18.793649164799128,18.705346370464365,0.0
BRK-A,18952.410501678874,48176.97805500944,46238.74981898118,57375.68577498258,0.0
BSHI,3.256834422489211,3.6948477827985133,2.456539298001806,2.7941061897672754,0.0
BSX,4.325346383835478,6.078517899911953,4.3836928571842115,4.087029006775774,0.0
BWA,5.648969982132849,9.323465934314548,5.337876310759287,6.204159273813642,0.0
BXP,8.660807934516155,34.49781281468308,14.1821610333524,34.22204118516004,0.0
C,8.531315514882571,19.603530726418587,7.966761885132272,11.322916853796649,0.0
CAG,4.94774792493635,5.081609665090769,3.433655450123921,2.479956951880843,0.0
CAH,5.994104975924601,6.303857164833717,6.86194786158943,14.86766917429138,0.0
