Volatility,VAR,Maximum Drawdown,risky
37.20844443,9.634357534,21.13,0
17.19731624,14.97404401,44.9,0
31.27775075,37.44889957,43.75,1
23.22416615,9.761176525,22.03,0
44.11799869,11.18395014,47.4,1
27.40974772,12.33686724,22.78,0
17.91849148,6.428978748,48.92,0
26.14984856,67.15279422,44.55,1
26.0127361,5.708939726,23.25,0
31.674199,47.37705482,29.16,1
19.53707576,11.27782879,36.87,0
27.29389604,9.483247027,37.17,0
41.90601762,13.09484059,35.56,1
24.35644707,18.28981916,23.71,0
31.10150732,107.8908408,41.86,1
23.05397354,13.48842441,46.57,0
21.72550198,5.500645569,31.57,0
23.95619711,53.88025585,54.8,1
21.9208776,23.75438374,32.9,0
31.34435542,50.35472476,29.62,1
17.95091949,4.891374585,50.2,0
31.37018694,26.41445056,48.39,0
30.32392102,7.504242123,42.83,0
24.18365547,10.80102847,24.68,0
22.74298339,6.014573159,44.68,0
19.99326157,41.59986087,53.02,1
27.34521634,4.389448283,20.18,0
25.74624829,25.94873469,38.26,0
18.22409718,23.91519335,34.47,0
21.05196549,11.77168649,37.33,0
26.54758098,6.747845161,28.51,0
19.58842591,6.056114425,28.28,0
19.60815159,32.88949408,43.49,1
15.74803514,2.368456313,59.16,0
41.00279244,15.00203894,46.21,1
17.33090725,18.41301521,0,0
30.73088244,2.172935052,36,0
88.37234524,31.59052738,56.4,1
19.78741524,0.010973342,17.76,0
19.04268515,20.43053441,39.78,0
20.41795604,1.700685823,27.85,0
20.40220755,26.23310527,35.49,0
23.03616752,10.13941209,28.87,0
26.47210957,5.475531336,53.04,0
22.25111828,4.647930845,43.6,0
33.35373405,4.572944192,36.68,0
23.55070413,7.03960169,37.78,0
20.50748266,30.20805882,41.25,1
31.8914115,17.80176295,10.8,0
20.97712008,46.36815943,27.33,1
19.96674217,25.36983975,41.4,0
21.15854416,0.661309148,46.14,0
32.15606081,63.70504244,32.84,1
24.47086979,3.168942568,63.59,0
20.78762901,5.188331518,37.85,0
26.99745645,1.413509091,35.43,0
25.02920023,2.658931837,45.91,0
20.72812536,50.16048904,30.2,1
36.95364124,66.7229522,29.63,1
20.12241439,15.26690808,23.78,0
23.61309298,25.50781499,21.76,0
25.78016252,19.1148634,32.09,0
25.72247112,8.790397581,38.8,0
69.03369866,16.16170086,55.74,1
20.71020624,1.801134416,18.74,0
22.05768392,5.298447018,27.79,0
27.04018763,4.333980276,27.5,0
19.12897429,4.112596035,19.59,0
25.75057532,7.639287608,22.49,0
24.75985504,1.768504194,35.49,0
23.54196916,20.55552293,21.18,0
29.2521361,4.149672908,34.24,0
27.74420678,42.90226226,46.38,1
25.64625048,13.86359192,24.63,0
28.88345713,13.44078735,43.3,0
23.81264144,115.9544406,58.18,1
23.67813352,20.9821809,0,0
19.28627531,15.61981273,42.77,0
37.95905138,68.82300005,35.54,1
22.07756951,0.001544913,52.44,0
18.51464889,157.6187655,31.77,1
22.07105345,7.452522526,21.42,0
22.4983311,45.92370302,48.38,1
28.20312584,7.679441648,33.27,0
16.59713713,9.540763519,28.92,0
24.96598677,66.81229635,44.96,1
24.24219469,99.67718436,28.97,1
28.16730522,20.44785913,42.4,0
28.80917282,3.657070915,25.7,0
19.37758176,27.34795882,12.09,0
26.93755148,14.08005533,31.52,0
24.80060334,13.95843495,39.47,0
30.00637586,8.224350927,22.09,0
22.39869251,4.598873589,0,0
28.2760001,15.74960607,42.15,0
21.18134101,3.923108464,33.82,0
34.76471352,0,87.86,0
27.30733972,2.915932839,25.25,0
23.17346598,33.79841106,31.54,1
30.56111316,0.661738961,24.21,0
30.47286849,5.054272764,49.85,0
21.59911029,3.5793716,16.36,0
21.95950143,5.242705896,30.27,0
20.24924594,18.01335248,60.52,0
35.48648596,4.22158045,45.88,0
22.02599709,6.374346272,23.52,0
28.3709571,8.526658633,27.52,0
29.91391881,2.516107045,30.02,0
25.17205558,9.996258853,28.48,0
19.94671833,6.858259956,27.86,0
47.39312386,42.1334991,57.99,1
53.77794929,10.75856102,26.24,1
43.95296738,32.22503913,33.95,1
25.78249153,11.13359345,54.5,0
19.28626391,6.480098722,35.05,0
22.72418513,42.53373173,37.61,1
17.86269133,83.06067979,38.33,1
26.28811346,10.27081217,47.47,0
19.90730316,15.92870091,37.4,0
32.05046571,12.33793237,30.08,0
21.39495868,20.28693891,20.26,0
22.57519584,46.10642247,35.82,1
34.00940384,17.88505395,38.48,0
21.31560911,24.62887688,39.1,0
37.00654267,7.923064406,19.79,0
49.67825122,26.19232656,31.65,1
17.78835233,70.35415716,19.66,0
24.46702597,4.85680865,41.47,0
27.19581362,12.20172188,53.26,0
23.21129202,7.156737169,41.97,0
23.80666786,7.358353477,32.95,0
22.82531317,30.04620215,19.23,0
24.60814981,91.38147608,40.34,1
20.65792529,59.5109837,30.32,1
22.44187613,32.40096481,27.24,1
18.86148353,18.30658762,50.1,0
19.7159625,6.121655841,46.44,0
24.78258095,4.640945786,32,0
20.58069113,6.422996493,31.13,0
19.39155222,9.952700011,47.9,0
26.59644334,0.127836054,9.61,0
16.5398716,6.287316603,35.87,0
26.34808251,4.256449395,34.88,0
22.32495511,0.608256482,26.09,0
28.55337162,150.5267582,46.67,1
27.92189127,60.76129875,56.24,1
26.54957491,48.81342929,29.8,1
21.52176847,11.79503023,30.79,0
31.14124139,5.405228619,24.71,0
18.10278714,9.667396261,75.41,0
34.50249981,13.28340977,71.86,0
25.75675406,9.29831969,25.6,0
43.2927095,3.476773507,40.64,1
14.32753012,92.11568832,99.5,1
21.49895734,2.257436183,32.65,0
31.84584258,4.138685028,32.48,0
31.01840376,0.233136283,41.1,0
16.74810944,49.53680977,44.34,1
22.46384203,1.28937343,99.33,0
21.28910313,2.335892218,30.65,0
29.02924484,114.78421,28.8,1
20.67651099,0.096292886,35.22,0
24.52265603,5.136746722,68.05,0
22.24539277,24.34732309,70,0
26.91868109,15.06599487,42.22,0
16.88622863,16.74917458,36.94,0
26.73219298,0.003205591,60.02,0
20.13588248,14.92088033,51.71,0
20.81330334,631.9533325,25.88,1
28.57255519,47.29121511,34.62,1
22.54481456,3.41103727,25.58,0
32.37882306,6.716041073,31.29,0
32.05137802,77.83765722,33.77,1
17.35957912,10.53912784,58.13,0
19.79890173,9.516978623,23.53,0
26.0961603,117.9191889,25.41,1
25.88934885,5.744350482,25.81,0
28.3059988,20.52575067,17.31,0
31.06301558,8.356550149,26.35,0
20.85100272,4.26845802,24.63,0
19.11273681,17.27897171,27.91,0
25.86856755,10.60265578,36.5,0
21.51960393,13.41409678,32.75,0
21.62898185,25.4056257,38.17,0
21.40957308,7.064842677,42.84,0
20.61121085,10.85405136,25.82,0
24.09562773,36.49163496,44.09,1
38.69474327,30.68723102,25.75,1
24.75786246,10.49768928,75.81,0
17.16210579,12.31372787,37.37,0
33.73594128,11.46100028,29.33,0
17.43283773,0.07729552,29.63,0
18.62187368,20.79749044,59.83,0
32.57790862,15.5037993,35.41,0
21.73268959,11.36104953,32.95,0
31.00676956,12.22578985,51.17,0
18.86055849,23.84842609,64.47,0
34.15047127,30.52382431,25.98,1
22.0113251,21.48550485,32.21,0
45.73954804,12.20095309,25.39,1
28.13028871,24.51482354,28.22,0
22.32924947,13.01961794,42.36,0
25.89448992,112.7572521,88.02,1
